id,en,ru
ACTIONS_AMOUNT_LABEL,"ACTIONS:","ДЕЙСТВИЯ:"
ACTION_BUTTON_ATTACK,"ATTACK","АТАКА"
ACTION_BUTTON_CANCEL,"CANCEL","ОТМЕНА"
ACTION_BUTTON_ITEMS,"ITEMS","ПРЕДМЕТЫ"
ACTION_BUTTON_MOVE,"MOVE","ПЕРЕМЕЩЕНИЕ"
ACTION_BUTTON_PHANTASM,"PHANTASM","ФАНТАЗМ"
ACTION_BUTTON_SKILL,"SKILL","НАВЫК"
ACTION_BUTTON_UNMOUNT,"UNMOUNT","СПЕШИТЬСЯ"
ADVANCED_LOG_AGILITY_DIFFERENCE_SHOW,"self_agility={self_agility} enemy_agility={enemy_agility} agility_bonus={agility_bonus}","своя_ловкость={self_agility} ловкость_врага={enemy_agility} бонус_ловкости={agility_bonus}"
ADVANCED_LOG_ALL_PLAYER_UNITS_DEAD,"All units for player with pu_id={pu_id} are dead, removing it from turns order loop","Все юниты для игрока с pu_id={pu_id} мертвы, удаляем его из цикла порядка ходов"
ADVANCED_LOG_ATTACKER_CHARGING_PHANTASM,"Attacker charging phantasm","Атакующий заряжает Фантазм"
ADVANCED_LOG_ATTACKER_HAS_CRIT_UP_BUFF,"Attacker has Critical Hit Rate Up buff with Chances={crit_dice}","У атакующего есть бафф на увеличение шанса крит. удара с шансами={crit_dice}"
ADVANCED_LOG_ATTACKER_REDUCED_ACTION_POINT,"Attacker reduced action point","Атакующий уменьшил очки действия"
ADVANCED_LOG_ATTACKER_RUN_OUT_OF_STAMINA_FULL_PARRY,"Attacker run out of stamina, FULL PARRY","У атакующего закончилась выносливость, ПОЛНОЕ ПАРИРОВАНИЕ"
ADVANCED_LOG_ATTACK_ATTEMPT,"{Attacker_name} is attempting to attack {Taker_name}","{Attacker_name} пытается атаковать {Taker_name}"
ADVANCED_LOG_BUFF_CONDITION_CHECK_BUFF_NAME_NOT_VALID,"char does not have buff={buff}","у персонажа нет баффа={buff}"
ADVANCED_LOG_BUFF_CONDITION_CHECK_BUFF_NAME_VALID,"char have buff={buff}","у персонажа есть бафф={buff}"
ADVANCED_LOG_BUFF_CONDITION_FALSE,"condition is false","условие ложно"
ADVANCED_LOG_BUFF_CONDITION_FIELDS_ERROR,"condition doesn't have who_to_check or what_to_check","у условия нет who_to_check или what_to_check"
ADVANCED_LOG_BUFF_CONDITION_TRUE,"condition is true","условие истинно"
ADVANCED_LOG_BUFF_CONDITION_WHO_TO_CHECK,"who_to_check={who_to_check}","кого_проверить={who_to_check}"
ADVANCED_LOG_BUFF_HAS_CONDITION,"buff has condition={condition}","у баффа есть условие={condition}"
ADVANCED_LOG_CALCULATE_DAMAGE_AFTER_ATTACKER_BUFFS,"damage_to_take after attacker buffs={damage_to_take}","урон_получить после баффов атакующего={damage_to_take}"
ADVANCED_LOG_CALCULATE_DAMAGE_ALL_ON_MAGICAL_FIELD,"attacker and taker on the attacker magical field, ignoring magical defence","атакующий и получатель урона находятся на магическом поле атакующего, игнорируя магическую защиту"
